foodID,name,ingredients,prepTimeInMins,cookTimeInMins,totalTimeInMins,servings,cuisine,course,Regions,isVeg,isSugarFree,isHighProtein,isGluttenFree,isSattvic,isVegan,diet,allergies,totalCaloriesInCal,instructions,URL,imgURL
89,Murgh Malaiwala  - Chicken In Rich Creamy Gravy,"500 gram Chicken - cut into pieces,2 teaspoon Ginger - paste,1 teaspoon Garlic - paste,2 tablespoon Fresh cream,1 tablespoon Badam (Almond) - paste,1/2 teaspoon Lemon juice,1/4 teaspoon Black pepper powder,Salt - to taste,1 Onion - sliced,1/2 cup Fresh cream,1 cup Milk,2 Cardamom Powder (Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaf (tej patta),2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),4 teaspoon Ghee",150,30,180,4,North Indian ,Lunch,12,0,0,0,0,0,0,Non Vegeterian,lactose,264,"To begin making the Murgh Malaiwala recipe, firstly clean and wash the chicken pieces and dry it. Soak kasuri methi leaves in 1/4th cup of water in a small bowl.Take a big bowl and add chicken, salt, pepper and mix it well. Refrigerate it for about 2 hours or more.After 2 hours, add garlic, ginger, lemon juice, almond paste and 2 tablespoons cream into the chicken and keep it aside for 20 minutes.Heat a heavy bottomed pan with ghee. Add cardamom powder and onions in the pan and let it cook till the onions become soft and translucent.Next, add the marinated chicken pieces and let it cook for 10 minutes. After 10 minutes, add in the cream, milk with cinnamon stick and bay leaf.Boil stirring occasionally till the chicken pieces are fully cooked and semi thick gravy consistency is formed. Strain the methi leaves and sprinkle on the gravy and stir it well. Let it cook for about a minute or two.Switch off the gas, cover the pan and let it sit for 10 minutes before serving. Serve Murgh Malaiwala along with Burani Raita, Garlic Naan and Jeera Rice for a weekend meal with your family.",http://www.archanaskitchen.com/murgh-malaiwala-recipe-chicken-in-rich-creamy-gravy,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/ruby_pathak-yahoo.com/Murgh_Malaiwala.jpg
90,Paal Kesari  - South Indian Style Milk Kesari,"1/2 cup Sooji (Semolina/ Rava),1/2 teaspoon Ghee - for roasting the rava,3 cups Milk,3/4 cup Sugar,5 Saffron strands - (lightly powdered using mortar and pestle),1 Cardamom (Elaichi) Pods/Seeds - crushed (optional),1 teaspoon Ghee,5 Cashew nuts,5 Raisins,1 Mixed dry fruits - chopped",10,25,35,4,South Indian ,Dessert,1,1,0,0,0,0,0,Vegetarian,lactose,321,"To begin making the Paal Kesari Recipe, prepare all the ingredients and soak crushed saffron strands in a tablespoon of warm milk for 15-20 minutes (Soaking is optional for better infusion).Heat a Pan with ghee and roast the rava/semolina by continuously stirring till it turns fragrant.Switch off and allow it to cool completely.Heat a Kadai with milk over a low flame and when it starts to boil, add saffron and sugar. Add cardamom if you like.Once the sugar melts, keep stirring over low flame and add the roasted rava in parallel to avoid any lumps.Cook the rava over a low flame, stirring continuously till it is completely cooked. Switch off.Heat a Tadka pan with ghee and lightly roast the cashew nuts, raisins and any other dry fruits and nuts if using.Garnish the milk kesari with nuts and raisins.Your delicious Milk Kesari is ready to be served immediately or you can refrigerate and serve it chilled.Serve Paal Kesari Recipe after a South Indian Meal of Tomato Onion Sambar, Jeera Rasam, Chow Chow Thoran, Steamed Rice and Elai Vadam.",http://www.archanaskitchen.com/milk-kesari-recipe-south-indian-paal-kesari,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/Uma_Raghuraman/Milk_Kesari_Recipe_Paal_Kesari_Recipe.jpg
91,Spicy Lemon Chicken Kebab ,"1 Chicken breasts - cut into cubes,1 Red Bell pepper (Capsicum) - cut into squares,1 Onion - cut into chunks,1 Lemon juice,1 teaspoon Dried Thyme Leaves,1 teaspoon Red Chilli flakes,1 teaspoon Black pepper powder,2 tablespoon Extra Virgin Olive Oil,Salt - to taste",60,30,90,4,Indian,Appetizer,0,0,0,0,0,0,0,Non Vegeterian,None,266,"To begin making the Spicy Lemon Chicken Kebab Recipe, thoroughly wash and clean the chicken, and cut them into cubes.To marinate the chicken, in a mixing bowl, combine the chicken pieces along with the bell peppers and onions and lemon juice, dried thyme, red chilli flakes, pepper powder, olive oil, salt and mix well.   Rest it for at least for about 1 hour.  Once it is well coated and marinated, start skewering by first placing the red bell pepper, a chicken cube followed by a onion chunk, repeating the sequence one more time. Ensure the skewer is not over crowded and packed. Heat a grill pan, drizzle some oil and place the skewers and cook for at least 25 minutes. Keep brushing the extra marinade over the chicken and keep turning the skewers so that it is evenly cooked.Serve the Spicy Lemon Chicken Kebab Recipe, along with tzatziki dip, sliced onions and green chutney to make it more interesting.",http://www.archanaskitchen.com/spicy-lemon-chicken-kebab-recipe,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/sibyl_sunitha/Spicy_Lemon_Chicken_Kebab_Recipe_.jpg
92,Paneer Butter Masala Biryani  - Layered Paneer Butter Masala Biryani ,"1 cup rice, 2 cups water, 1 tsp ghee, 1 cardamom, 2 long, 1 star anise, 1/2 inch cinnamon, 2 whole black pepper, salt - as per taste, 1 bay leaf, 1/4 cup onion - bottom Take, 1 sprig of green coriander, 1 sprig of mint, 200 grams of cottage cheese - cut into 1/2 inch cube, 2 tomatoes, 2 tablespoons cream, 1 onion - chop, 1 inch ginger, 3 cloves garlic, 1 green chili , 1 tsp cardamom powder, 1/2 tsp cumin powder, 1/2 tsp garam masala powder, 1/2 tsp red chilli powder, 1 tsp kasoori methi, 1 tsp honey, salt - oil, as per taste - As per use, 1 tbsp cashews - for garnish",20,25,45,4,North Indian ,Main Course,12,1,0,0,0,0,0,Vegetarian,lactose,201,"To make Paneer Butter Masala Biryani recipe, first wash the rice and soak it for 30 minutes. To make rice for biryani, heat ghee in a pressure cooker. Add cardamom, long, star anise, cinnamon, whole black pepper, bay leaves, and cook for 1 minute. Now add rice, salt, 2 cups of water and close the cooker. Cook till 2 cities come and turn off the gas. Allow the pressure to drain automatically. Open the cooker and spread out the rice in a plate so that it becomes slightly cold. Now add fried onions, coriander leaves, mint and mix well. Keep it aside. To make Paneer Butter Masala for Biryani, heat oil in a pan. Add cumin, cardamom, green chillies, ginger, garlic, onion and cook till the onion turns brown. Now add tomatoes, salt and turn off the gas. Allow to cool. Now put this mixture in a mixer grinder and grind it into a paste. Heat some oil in a pan. Add the ground spices to it and cook for 1 minute. After this, add cumin powder, garam masala powder, red chili powder, honey, kasoori methi and let it cook on low flame. After the gravy boils, add cottage cheese, cream and mix it. Turn off the gas after 1 minute. To make biryani, grease a large bowl with butter. Add fried onions, mint leaves, coriander. Make a rice layer over it. Press it well. Now add Paneer Butter Masala to it. Re-insert these layers and place the rice on the topmost layer. Now place a plate over it and reverse it. Serve. Serve Paneer Butter Masala Biryani Recipe along with Bundi Raita and Papad for dinner.",https://www.archanaskitchen.com/layered-paneer-butter-masala-biryani-recipe-in-hindi,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Layered_Paneer_Butter_Masala_Biryani_Recipe.jpg
93,Gond Ke Ladoo  - Edible Gum Ladoo,"150 grams Goond (Edible Gum),350 grams Ghee,400 grams Whole Wheat Flour,400 grams Sugar - powdered,50 grams Dry coconut (kopra),50 grams Badam (Almond) - chopped,50 grams Cashew nuts - chopped",15,60,75,20,North Indian ,Dessert,12,1,0,0,0,0,0,Vegetarian,None,142,"To begin making Gond Ke Ladoo, in a large and heavy bottomed pan, add 350 ml ghee and melt it on a low flame. Once the ghee is hot and melted, add gond/edible gum in the pan little at a time and fry on low flame until the goond puffs up like popcorn and crisps up. Make sure that goond is completely cooked from inside and outside. Repeat process with rest of the goond.Once goond is fried, using a ladle spoon out the goond from the ghee and keep aside to cool down. Into the same pan containing the melted ghee, add whole wheat flour and roast until it becomes aromatic and brown. The mixture should be crumbly. Turn off the flame. Transfer the flour on to a plate. Add the powdered sugar and all dry fruits and mix well. Let the mixture cool down. Meanwhile, once the goond has cooled, with a rolling pin, crush them into a coarse powder. Add this crushed goond in to wheat and dry fruit flour mixture. Now take little amount of mixture in your hands and give them round shape. Small or big that is totally up to you.Keep them aside for few hours, it will help the ladoos to set properly. You can keep them in airtight container for a month.Serve Gond Ke Ladoo as a healthy snack during winter to ward off flus and colds or to new mothers after delivery to provide them with instant energy and aid in lactation.",http://www.archanaskitchen.com/goond-ke-ladoo-recipe-edible-gum-ladoo,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/pooja/Goond_Ke_LadduEdible_Gum_Laddu.jpg
94,Mukhadi Halwa  (Semolina & All Purpose Flour Halwa),"1 cup Sooji (Semolina/ Rava),3 tablespoons All Purpose Flour (Maida),1 cup Milk - +1/3 cup extra,1 cup Sugar,3/4 cup Ghee",15,25,40,6,North Indian ,Dessert,12,1,0,0,0,0,0,Vegetarian,lactose,285,"To begin making the Mukhadi Halwa recipe, remove 3 table spoons of semolina from one cup of semolina. and replace it with 3 tablespoons of all purpose flour. Transfer this mix into a bowl and add milk. Whisk them together and set aside while you begin to prep for caramelising the sugar.Heat a heavy bottomed pan, add ghee and once it begins to get hot (not smoking), reduce the heat to medium. Add sugar and level it in ghee using a spatula. After five minutes stir the sugar using a spatula (using spatula helps ensure that the caramel won’t stick to it). Keep stirring once in a while till the sugar starts caramelizing as it melts. (The colour of the caramel should not deepen or darken in colour as this will lead to a bitter tasting halwa)Give a quick stir to the flour-semolina batter and slowly add it to the caramelised sugar.Now, starts the tricky part. Hold the wok or pan firmly using a cloth or holder (to avoid the heat) so that you can work your way with the batter. Using ladle (a large heavy spoon/ kalchhul), carefully yet swiftly start mixing the batter into the caramel. The batter will seem to turn lumpy but nothing to worry.Increase the flame to medium and using the back of the spoon keep smashing the batter, especially the whitish lumps, till the whole batter gets completed assimilated and incorporated with the caramel and the halwa wears a homogeneous look.This process will take approximately 3 to 4 minutes. You will also notice that the halwa releases the oil as it begins to come together as evenly toned mixture. At this point, remove excess oil in a small bowl and again roast the halwa for 3 to 4 minutes. Switch off the heat and push the halwa towards the edge of one side of the wok to allow any excess ghee to drain in the centre. Once the ghee leaves the halwa, drain it out in the bowl. Halwa is now ready to be served!Serve Mukhadi Halwa as a dessert after your weekday meal of Dal Makhani, Aloo Ki Sabzi and Phulka.",https://www.archanaskitchen.com/mukhadi-halwa-recipe-semolina-all-purpose-flour-halwa,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/Easyfoodsmith/mukhadi_halwa.jpg
95,Kobari Charu  - Kobbari Charu ,"2-1 / 2 cups coconut milk, 1 cup water, 1/4 cup roasted chana lentils, 6 green chillies - do more or less as you wish, 1 teaspoon oil, 1/2 teaspoon mustard, 1/4 small Spoon turmeric powder, 1/2 teaspoon cumin seeds, curry leaves - little, salt - as per taste, coriander leaves - little",10,40,50,4,South Indian ,Lunch,1,1,0,1,0,0,0,High Protein Vegetarian,lactose,230,"To make the Kobbari Charu recipe, we will first make coconut milk. Remove the white part of the coconut and grind it in a mixer grinder with 2 cups of water. Now sieve the milk with the help of a sieve. Keep it aside. In a mixer grinder, add roasted chana dal, green chilli and some water and grind it well. Heat the oil in a pan. Add the mustard seeds, cumin and curry leaves and cook for a few seconds. Now add turmeric powder, water, coconut milk, salt and let it boil. After boiling, add chana dal paste and mix it. Keep shaking so that there are no lumps. Let it boil After boiling, add green coriander and mix it. Turn off the gas. Serve the Kobbari Charu recipe with rice and Chow Chow Thoran for dinner.",https://www.archanaskitchen.com/kobbari-chaaru-recipe-coconut-milk-dal-sambar-recipe-in-hindi,https://www.archanaskitchen.com//images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/5-jan/Kobbari_Chaaru_Recipe_Coconut_Milk_and_Dal_Sambar_Existing_Recipe-2.jpg
96,Basil Tincture  (Or) - Herbal Drink From Basil,"2 cups Water,1 Tulsi (holy basil),1/2 teaspoon Black pepper powder,1/2 teaspoon Dry ginger powder,1 teaspoon Palm sugar - (Panakalkandu)",5,5,10,4,Indian,Side Dish,0,1,0,0,0,0,0,Vegetarian,None,442,"To begin making the Kashayam Recipe, prep all the ingredients and keep them handy.Add water into a sauce pan, tear the tulsi leaves and give it a brisk boil.Once the color of the water changes, add the black pepper powder, ginger powder, palm sugar (Panakalkandu), boil for a few more minutes and turn off the heat.Serve the Tulsi Kashayam hot and have it 2 to 3 times a day to get maximum relief from cough and cold.",http://www.archanaskitchen.com/tulsi-kashayam-recipe-kaada-herbal-drink-from-tulsi-holi-basil-black-pepper-ginger-and-palm-sugar,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/admin/Kashayam_Recipe__Herbal_Drink_From_Tulsi_Holi_Basil_Black_Pepper_Ginger_and_Palm_Sugar_.jpg
97,Carrot Corn Mayo Pancake  With Sandwich Spread,"2 Carrot (Gajjar) - peeled and grated,3/4 cup Sweet corn - blanched,1 cup Whole Wheat Flour,1 Onion - finely chopped,5 tablespoons Del Monte Sandwich Spread,1/4 cup Coriander (Dhania) Leaves - finely chopped,1/3 cup Curd (Dahi / Yogurt) - whisked,3 Whole Eggs,1 teaspoon Baking powder,1/4 teaspoon Baking soda,1 Green Chillies - finely chopped,Butter - as required,Salt - to taste,Black pepper powder - to taste",15,40,55,4,Continental,World Breakfast,6,1,0,0,0,0,0,Vegetarian,lactose,191,"To begin making the Carrot Corn Mayo Pancake Recipe With Sandwich Spread, first prep all the ingredients and keep them ready to make the pancakes. In a large mixing bowl, add eggs, yogurt and sandwich spread. Combine very well until creamy. Stir in the grated carrot, onions, chilies, corn and season with Salt and pepper. Mix very well.In another bowl, add flour, baking soda and baking powder, mix well.Now add the dry flour mixture to the carrot mayo mixture. Mix to form a thick pancake batter.  The pancake batter should be of thick creamy consistency. Stir in the chopped coriander leaves and mix well. Check the salt and seasonings and adjust to taste accordingly. Heat flat griddle or pan over medium heat and grease it with a little butter.Pour a ladle full of pancake batter and cook for a couple of minutes. Gently flip to cook on the other side for another 2 to 3 minutes.  Once you notice the pancake is lightly browned on both sides and cooked through, remove from the pan.Repeat the same for the rest of the pancake batter. Once done, serve the pancakes warm.Serve the Carrot Corn Mayo Pancake as a wholesome breakfast on a sunday along with a Bullseye On Toast and bowl of fruits with a cup of Espresso Coffee.",http://www.archanaskitchen.com/carrot-corn-mayo-pancake-recipe-with-sandwich-spread,https://www.archanaskitchen.com//images/archanaskitchen/10-Brands/Del_Monte_Mayo/Carrot-Corn-Sandwich-Spread-Mayo-Pancakes2.jpg
98,Tamil Nadu Style Spicy Egg Fry ,"2 Whole Eggs,Sunflower Oil - for frying,3 tablespoons Roasted Gram Dal (Pottukadalai),2 Dry Red Chillies,1 inch Ginger - chopped,4 cloves Garlic,1 tablespoon Whole Black Peppercorns,Salt - to taste",5,30,35,4,Tamil Nadu,Appetizer,10,0,0,0,0,0,0,Eggetarian,None,207,"To begin making the Tamil Nadu Style Spicy Egg Fry Recipe, we will first boil the egg. Heat a saucepan with required water and add eggs into it. After 15 minutes, you will see that the outer skin of the egg will start to break. Switch off the gas and let the eggs cool down. Once done, remove the outer shell and cut the egg into half. Keep it aside.Meanwhile, grind all the ingredients together that are mentioned in the list including roasted gram dal, dry red chillies, ginger, garlic, whole black peppercorns and salt by adding little water to form a smooth batter.Heat a saucepan on a medium heat, drizzle a tablespoon of oil, dip half cut boiled egg carefully into the ground batter and place it over the pan.Cook on either side till it crisps up and the batter it evenly cooked. Flip it and cook the other side as well.Serve the Tamil Nadu Style Spicy Egg Fry Recipe on the side along with Prawn Biryani and Raita of your choice to enjoy your simple lunch.",http://www.archanaskitchen.com/tamil-nadu-style-spicy-egg-fry-recipe,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/sibyl_sunitha/Tamil_Nadu_Style_Spicy_Egg_Fry_Recipe_.jpg
99,Chirer Dudh Puli  - Bengali Style Baten Rice Dumpling Milk,"2 cups Fresh coconut - grated,1 cup Palm jaggery - use date palm jaggery,1 cup Poha (Flattened rice),1/2 cup All Purpose Flour (Maida),1/4 cup Sooji (Semolina/ Rava),4 tablespoons Milk - warm,1 liter Milk,3/4 cup Palm jaggery - use date palm jaggery",20,20,40,4,Bengali ,Dessert,7,1,0,0,0,0,0,Vegetarian,lactose,1840,"To begin making the Chirer Dudh Puli recipe, firstly we will make the stuffing. Take a large pan, 1 cup jaggery into this pan and heat it on medium flame. Once the jaggery is melted, add grated coconut, stir this mixture continuous until the mixture comes together and sticks together. Switch off the gas when the mixture leaves the sides of the pan. Keep this mixture in a wide plate to become cool.The next step is to make the outer shell for the Puli. Soak Chire or Poha or flat beaten rice into a bowl of water for 2 to 3 minutes, then wash the chire or poha properly and drain the water through a colander.Add chire or poha, maida and sooji in a bowl, make a soft dough by adding milk gradually. Now make lemon sized balls from the dough. Flatten each ball with your fingers then a make a bowl by pressing down the middle section in.Do not make it very thick or thin. The shell would be medium thin. Add small amount of jaggery coconut mixture into it.Bring together both the edges, then press and seal with your finger. Make other pulis the same way.To make the kheer, add milk for Kheer in a big heavy bottomed pan on medium flame. Once it starts to boil, switch the heat to low and cook for another 5 minutes. Then remove the pan from the heat, add the required jaggery and mix, then place the pan back on the heat again and let it be cook on low flame.Adding jaggery into the milk in this way will prevent the milk to be curdled. Add all the prepared pulis now one by one, cook for another 10 minutes or until pulis are soft and the milk has thickened. Once done, take the Chirer Dudh Puli out in a bowl and serve hot or chilled.Serve Chirer Dudh Puli as a dessert after your meal of Dhokar Dalna, Bengali Style Sheem Poshto and Luchi for your everyday meal.",https://www.archanaskitchen.com/chirer-dudh-puli-recipe-bengali-style-rice-dumpling-kheer,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/moumita.malla-gmail.com/Chirer_Dudh_Puli_Bengali_Style_Beaten_Rice_Dumpling_Filled_with_coconut_Jeffery_Stuffing.jpg
100,Waffle Broth  - Puppet's Yamarinta Crovy,"1 tablespoon Gingelly oil,1/4 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),Asafoetida (hing) - a pinch,3 Dry Red Chillies,1/2 cup Pearl onions (Sambar Onions) - halved,1 sprig Curry leaves,3 Urad dal papad - broken in to quarters,1 cup Tamarind Water,1 teaspoon Sambar Powder,1 tablespoon Jaggery,1/4 teaspoon Turmeric powder (Haldi),3 cups Water,Salt - as needed",5,20,25,3,South Indian ,Lunch,1,1,0,0,0,0,0,Vegetarian,None,1268,"To begin making the Appalam Vatha Kuzhambu recipe, prepare all the ingredients and keep them ready.Heat oil in a preheated pan over medium heat. Add mustard seeds, fenugreek seeds, curry leaves and dried red chilies. Allow it to crackle.Add the onions and saute until the onions have softened and lightly golden. Once the onions have softened, add the tamarind water, turmeric powder, sambar powder, jaggery and appalam.Add 3 cups of water, salt to taste and simmer the appalam vatha kuzhambu, until the kuzhambu has thickened and the appalam has soaked and cooked through as well. The Appalam Vatha Kuzhambu will have a gravy like consistency with the starch from the appalam giving it this texture. Adjust the consistency of the kuzhambu by adding water and also check the salt and spices and adjust to taste accordinglyServe the Appalam Vatha Kuzhambu along with hot Steamed Rice, Bean Paruppu Usili and Elai Vadam for simple and delicious weekend lunch.",http://www.archanaskitchen.com/appalam-vathal-kuzhambu-recipe-spicy-and-tangy-papad-curry,https://www.archanaskitchen.com//images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Appalam_Vatha_Kuzhambun_recipe_-_South_Indian_Papad_ki_Sabzi_8_1600.jpg
101,Kashmiri Style Modur Pulao With Pomegranate ,"1 cup Basmati rice - soaked for 1/2 hour,3 Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,3/4 cup Milk - (adjust),1-1/2 cup Water,1 pinch Saffron strands,1 teaspoon Cumin powder (Jeera) - roasted,1 teaspoon Sunflower Oil,Salt - to taste,1/2 cup Anardana Powder (Pomegranate Seed Powder) - cleaned,2 teaspoon Cashew nuts,3 teaspoon Badam (Almond),2-5 teaspoon Raisins - optional,4 Dates - pitted and sliced,Ghee - as required",40,120,160,4,Kashmiri,Lunch,25,1,0,0,0,0,0,Vegetarian,lactose,294,"To begin making Kashmiri Modur Pulao Recipe first Soak saffron in 2 teaspoons of warm milk for about 10 minutes and crush it well.Wash and soak Basmati rice for half an hour.Next in a Biryani pot or a pressure cooker, heat ghee, add cinnamon, cloves and cardamom and saute for a while till aromatic.Drain excess water from soaked Basmati rice, add rice to the pan and saute for about 3 minutes on medium flame.Add saffron milk mix to rice and add 1/2 cup milk and 1/2 cup water and salt to taste. Cook covered until the rice is cooked well. In the pressure cooker leave it for about 2 whistle.Once rice is cooked, switch off and fluff it up with a fork and set aside.Just before serving, in a pan, fry the dry fruits and nuts including cashew nuts, badam, dates and raisins in a little ghee till they are golden brown. Keep a few fried cashews aside for garnishing.On a medium flame, add fried dry fruits and nuts to the fluffed up rice in the pot and mix well and switch off heat. While it is still warm, add the pomegranate and stir. Finally, add the roasted jeera powder and give it a good mix.Serve the Kashmiri Modur Pulao Recipe along with Paneer Masala and Boondi Raita to relish your mid day meals.",https://www.archanaskitchen.com/kashmiri-modur-pulao-with-pomegranate-and-paneer-masala-curry-recipe,https://www.archanaskitchen.com//images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/2-feb/Kashmiri_Modur_Pulao_With_Pomegranate_-1.jpg
102,North Indian Style Mushroom Matar Masala ,"1 cup Button mushrooms - chopped,1 cup Green peas (Matar) - boiled,Sunflower Oil - as required,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,Asafoetida (hing) - a pinch,1 Onion - chopped,1 Onion - paste,1 Tomato - paste,1 tablespoon Ginger Garlic Paste,1 Green Chilli - chopped,1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/4 teaspoon Garam masala powder,Water - as required,2 sprig Coriander (Dhania) Leaves - chopped",10,30,40,2,North Indian ,Lunch,12,1,0,1,0,0,0,High Protein Vegetarian,mushroom,152,"To begin making the North Indian Style Mushroom Matar, heat oil in a heavy bottomed pan. Add cumin seeds, mustard seeds and asafoetida. Let it splutter.Add the chopped onions and cook it for about a minute or two. Next, add the ginger garlic paste and let it cook for 3 minutes. After 3 minutes, add the onion paste and green chillies and let it cook for about 2 minutes. After 2 minutes, add the tomato puree and all the masalas including red chilli powder, turmeric powder, coriander powder and garam masala powder. Let it cook for about 5 to 7 minutes.Meanwhile heat a little oil in a pan and stir fry the mushroom for about 2 to 3 minutes and boil the green peas till they become soft.After this add the stir fried mushrooms and boiled green peas to the gravy and add a little water. Let it cook for another 10 minutes.Once it is done, add the chopped coriander leaves and serve hot.Serve North Indian Style Mushroom Matar Masala along with Dal Makhani and Pudina Lahsun Lachha Paratha for a weekday lunch or dinner.",https://www.archanaskitchen.com/north-indian-style-mushroom-matar-masala-recipe,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/pooja/North_Indian_Style_Mushroom_Matar.jpg
103,Dhania Chole Masala  - Chickpeas In Fresh Coriander Gravy,"1/2 cup Coriander (Dhania) Leaves - chopped,4 Green Chillies,1 inch Ginger,Salt - to taste,1 Lemon - juice extracted,2 cups Kabuli Chana (White Chickpeas) - soaked overnight,1 tablespoon Ghee,1 Onion - finely chopped,1 inch Ginger - finely chopped,3 cloves Garlic - finely chopped,1 Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),1 Brown cardamom (Badi Elaichi),1 teaspoon Black Salt (Kala Namak),1/4 teaspoon Garam masala powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Black Salt (Kala Namak),Salt - to taste,Salt - to taste",480,60,540,4,North Indian ,Main Course,12,1,0,1,0,0,0,High Protein Vegetarian,None,223,"To begin making Dhania Chole Masala, wash and soak the chana or chickpeas overnight. Drain the water in which the chickpeas/chole is soaked in. Pressure cook the drained chana along with 3 cups of water and salt for 6 whistles. After 6 whistles reduce the heat to low and continue to cook for 20 minutes.  Turn off the flame and allow the pressure to release naturally.  The chana has be cooked well once you open the pressure cooker. Once done, when you press between your fingers to should mash easily.The next step is to make the Dhania Masala.Into a mixer grinder, add the coriander, ginger and green chillies, along with a little salt and lemon juice. Add 1/4 cup water and blend to make a smooth mixture like a chutney. Keep the Dhania Masala aside.Heat ghee in a pan over medium heat; add the onion, ginger and garlic and saute until the onion softens. Add the bay leaves, cinnamon stick, badi elaichi and saute for a few more seconds until you can smell the aromas.After a few seconds, add the garam masala, coriander powder, kala namak and the dhania masala. Give it a stir.Add the cooked chana, give it a stir. Add water if required to adjust the consistency of the chana masala. Cover the pan and simmer the Dhania Chole Masala for a good 10 minutes.After 10 minutes, you will notice that the chole is well coated with the dhania masala. At this stage, check the taste and adjust the salt and chilli accordingly.Once done, turn off the heat and transfer the Dhania Chole Masala to a serving bowl and serve hot.Serve the Dhania Chole Masala, along with Puri, Paneer in White Gravy, Lacha Pyaz and Chaas for a delicious weekend lunch.",https://www.archanaskitchen.com/chole-dhania-masala-recipe,https://www.archanaskitchen.com//images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Dhaniya_Chole_Masala_Curry_Mint_Coriander_Chana_Masala_5_1600.jpg
104,Capsicum Masala Poriyal ,"1 teaspoon oil, 1 teaspoon mustard, 1 capsicum (yellow) - cut, 1 capsicum (red) - cut, 1 capsicum (green) - cut, 1 onion - cut, curry leaves - little , Salt - as per taste, 1/2 cup peanuts - roast, 1 tablespoon coconut, 4 dry red chillies, 3 cloves garlic - unpeeled, 1 teaspoon cumin seeds, 4 sprig green coriander - chopped",38,25,63,4,South Indian ,Lunch,1,1,0,0,0,0,0,Vegetarian,peanuts,116,"To make capsicum masala poriyal, first heat oil in a pan. Add mustard seeds and cook for 15 seconds. Now add onion and cook till the onion becomes soft. After the onion becomes soft, add all three capsicum, curry leaves, salt and let it cook for 5 minutes. Now put the ingredients in a blender to make the powder and grind it. Add this powder to the capsicum and mix. Cook for 5 more minutes and garnish with green coriander. Serve capsicum masala poriyal with tomato onion, sambar and rice for dinner.",http://www.archanaskitchen.com/capsicum-masala-poriyal-recipe-in-hindi,https://www.archanaskitchen.com//images/archanaskitchen/1-Author/Padma_Veeranki/Tricolour_Capsicum_Masala_StirFry.jpg
105,Kerala Style Raw Banana and Suran Kotu Curry  - Kerala Style Plantain & Yam Thoran ,"1/2 cup raw banana - chopped, 1/2 cup suran - chopped, 1/2 cup black gram, 1/2 teaspoon turmeric powder, 1/2 teaspoon red chili powder, salt - as per taste, 1/2 2 tsp cumin seeds, 1 cup coconut - grated, 1/4 tsp whole black pepper, 3 cloves garlic, 1 green chili, 1 tsp oil, 1/2 tsp mustard",360,20,380,4,kerala,Dinner,17,1,0,0,0,0,0,Vegetarian,None,180,"To make Kerala Style Raw Banana and Suran Kotu Curry Recipe, first peel the raw banana and suran and cut them into small pieces. In a saucepan, pour both of these with 1/4 tsp turmeric powder, salt and water and let it soften. Cook till Keep it aside. Pour black gram in a cooker with water as per use and cook it for 30 minutes. Allow the pressure to drain automatically and close the cooker. In a mixer grinder, add coconut, cumin, green chili, black pepper, a little water and grind them. Keep it aside. Keep it aside. Now add suran, raw banana, coconut paste, salt, a little water in a pan and cook for 2 to 3 minutes. Add coconut in a pan and cook till it turns brown. Keep it aside. Heat oil in a tempering pan. Add the mustard seeds, dry red chillies, curry leaves and cook until the mustard seeds crackle. Add this tadka and brown coconut curry and mix. Turn off the gas after a minute and serve. Serve Kerala Style Raw Banana and Suran Kotu Curry Recipe with Kerala Beetroot Pachadi for dinner.",http://www.archanaskitchen.com/kerala-style-plantain-yam-kootu-curry-recipe-in-hindi,https://www.archanaskitchen.com//images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/23-feb/Raw_banana_and_Yam_Kerala_Style_Thoran_Recipe-2.jpg
